l n sin xinv log
1 3 0.0148569 0.00928399 0.00992899
1 4 0.00950499 0.00906799 0.00958499
1 5 0.00912299 0.00928499 0.00836799
1 6 0.00954199 0.00876699 0.00938399 
1 7 0.00928599 0.00824599 0.00988299
1 8 0.00894599 0.00911399 0.00886799 
1 9 0.00986999 0.00875999 0.00941399
1 10 0.607884 0.616159 0.630985
1 11 0.603926 0.61394 0.631275
1 12 0.605559 0.614825 0.634485
1 13 0.606596 0.615982 0.630139 
1 14 0.604657 0.61576  0.630401
1 15 0.610278 0.617384 0.63343 
1 16 0.61074 0.617845 0.631078
1 17 0.61312 0.621012 0.641679
1 18  0.613496 0.620397 0.631478
1 19 0.607904 0.61795 7.02304
1 20 6.68201 6.79095 7.02303
1 21 6.71108 6.81018 7.04405 
1 22 6.69018 6.80268 7.00663
1 23 6.66622 6.78842 6.99818
1 24 6.6627 6.8217 7.03355 
1 25 6.70428 6.83173 7.0207
1 26 6.6894 6.8131 7.01049 
1 27 6.6521 6.81491 7.02197
1 28 6.68516 6.81219 7.03834
1 29 6.72041 6.79394 7.02566
2 3 4.48199 4.52362 4.62832
2 4 4.42489 4.49606 4.64547
2 5 4.41609 4.50945 4.63973
2 6 4.43837 4.50863 4.63231
2 7 4.4237 4.50482 4.64138
2 8 4.42147 4.50086 4.64977
2 9 4.42578 4.49903 4.62882
2 10 4.42563 4.51924 4.65533
2 11 29.5098 29.7606 31.3782
2 12 29.509 29.7829 31.3978
2 13 29.5211 29.8065 31.3935
2 14 29.4936 29.8445 31.3897
2 15 29.6194 29.763 152.037
2 16 139.248 136.007 151.005
2 17 137.942 135.625 151.153 
3 3 139.045 134.46 150.855 
3 4 139.075 134.566 150.772 
3 5 139.496 134.668 150.95
3 6 139.205 134.606 150.712
3 7 139.257 134.733 150.572
3 8 139.261 134.553 150.959
3 9 139.253 134.865 150.706
3 10 612.203 581.547 659.753
